                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.90428,                 1.0548,                0.94534,                0.82482,                0.80242,                0.85667,                0.68147,                0.75156,                 0.5577,                0.88197,              0.0033209,              0.0033209,              0.0033209
                      2,                0.85921,                0.60729,                0.91371,                0.82934,                 0.8418,                0.87835,                0.70632,                0.74189,                0.55043,                0.88401,              0.0065884,              0.0065884,              0.0065884
                      3,                0.86245,                0.58321,                 0.9145,                0.81741,                0.78524,                0.85354,                0.67516,                0.76637,                0.62077,                0.89579,              0.0097898,              0.0097898,              0.0097898
                      4,                0.82735,                0.55889,                0.90775,                0.86429,                0.83349,                0.89851,                0.73101,                0.69678,                0.50473,                0.87534,               0.009703,               0.009703,               0.009703
                      5,                0.79008,                0.52163,                0.90119,                0.78861,                0.80715,                0.84943,                 0.6775,                0.71308,                0.58694,                0.88489,               0.009703,               0.009703,               0.009703
                      6,                0.77502,                 0.5143,                0.89855,                0.86596,                0.85148,                0.90582,                 0.7452,                0.67377,                0.47102,                0.87148,               0.009604,               0.009604,               0.009604
                      7,                0.75749,                0.49663,                0.89454,                0.87151,                0.84935,                 0.9109,                0.74737,                0.67747,                 0.4737,                0.87098,               0.009505,               0.009505,               0.009505
                      8,                0.74632,                0.49116,                0.89027,                0.88681,                0.86085,                0.91688,                0.75874,                0.66592,                0.45359,                0.86972,               0.009406,               0.009406,               0.009406
                      9,                0.73255,                0.47499,                0.88435,                0.85885,                0.87781,                0.90683,                 0.7564,                0.66261,                0.47037,                0.86919,               0.009307,               0.009307,               0.009307
                     10,                0.72878,                0.47506,                0.88642,                0.87934,                0.86114,                0.91661,                0.75768,                0.66007,                 0.4584,                0.86731,               0.009208,               0.009208,               0.009208
                     11,                0.72841,                0.47492,                 0.8854,                0.87903,                0.86935,                0.91598,                 0.7642,                0.65178,                0.43343,                0.86336,               0.009109,               0.009109,               0.009109
                     12,                0.70274,                0.45272,                0.87764,                0.88705,                0.86524,                0.92049,                0.76652,                0.65126,                0.43072,                0.86572,                0.00901,                0.00901,                0.00901
                     13,                 0.7095,                0.45975,                0.88099,                 0.8824,                0.87636,                0.92258,                0.77124,                0.64125,                0.42226,                0.86145,               0.008911,               0.008911,               0.008911
                     14,                0.70106,                0.45313,                0.87947,                0.88572,                0.87587,                 0.9214,                0.77189,                0.64364,                0.43006,                0.86292,               0.008812,               0.008812,               0.008812
                     15,                0.70427,                0.45179,                0.87999,                0.88812,                0.88348,                0.92926,                0.78324,                0.63343,                0.40844,                0.86109,               0.008713,               0.008713,               0.008713
                     16,                0.69359,                0.44282,                0.87588,                0.88805,                0.88254,                0.92852,                0.78343,                0.63022,                0.40993,                0.85691,               0.008614,               0.008614,               0.008614
                     17,                0.69197,                0.44369,                0.87556,                0.89074,                0.88263,                0.93069,                 0.7895,                0.62283,                0.39813,                0.85545,               0.008515,               0.008515,               0.008515
