                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.68738,                0.42108,                0.85471,                0.89691,                0.88403,                 0.9375,                0.78588,                0.63006,                0.36426,                0.83491,               0.006535,               0.006535,               0.006535
                     38,                0.68315,                0.41451,                0.85183,                0.90225,                0.87315,                0.93571,                0.78566,                0.62687,                0.36795,                0.83388,               0.006436,               0.006436,               0.006436
                     39,                0.68195,                0.41387,                0.85131,                0.90821,                0.86742,                0.93591,                0.78576,                0.62728,                0.36549,                0.83451,               0.006337,               0.006337,               0.006337
                     40,                0.67758,                0.41268,                0.84946,                0.90654,                0.87858,                0.93814,                0.78968,                 0.6255,                0.36068,                0.83305,               0.006238,               0.006238,               0.006238
                     41,                0.68315,                0.41508,                 0.8534,                0.90762,                0.87395,                0.93491,                0.78662,                0.62474,                0.36241,                0.83301,               0.006139,               0.006139,               0.006139
                     42,                0.67515,                0.40669,                0.85043,                0.91577,                0.87179,                 0.9387,                0.78875,                0.62611,                0.36043,                0.83473,                0.00604,                0.00604,                0.00604
                     43,                0.67545,                0.40931,                0.85045,                0.90536,                0.87622,                0.93528,                0.78678,                0.62155,                0.36571,                0.83398,               0.005941,               0.005941,               0.005941
                     44,                0.67361,                0.40443,                 0.8506,                0.91174,                  0.875,                0.93728,                0.78826,                0.62351,                0.36014,                0.83404,               0.005842,               0.005842,               0.005842
                     45,                0.66621,                0.40101,                0.84717,                0.90579,                0.87956,                0.93689,                0.78978,                0.62131,                0.36208,                0.83359,               0.005743,               0.005743,               0.005743
                     46,                0.66719,                 0.4032,                0.84801,                 0.9103,                0.87254,                0.93766,                0.78864,                0.62292,                0.36181,                0.83331,               0.005644,               0.005644,               0.005644
                     47,                0.66376,                0.39671,                0.84617,                0.91169,                0.87192,                0.93695,                0.78932,                0.62103,                0.36034,                0.83277,               0.005545,               0.005545,               0.005545
                     48,                0.66469,                0.39809,                0.84917,                0.91178,                 0.8737,                0.93778,                0.79038,                0.62068,                0.35626,                0.83382,               0.005446,               0.005446,               0.005446
                     49,                0.66368,                 0.4006,                0.84718,                0.90231,                0.88094,                0.93634,                0.78901,                0.61905,                0.35756,                0.83249,               0.005347,               0.005347,               0.005347
                     50,                0.65758,                0.39341,                0.84473,                0.90328,                0.87543,                0.93583,                0.78921,                0.62146,                0.36095,                0.83321,               0.005248,               0.005248,               0.005248
                     51,                 0.6633,                0.39687,                 0.8475,                0.90868,                 0.8778,                0.93743,                0.79055,                 0.6201,                0.35476,                0.83291,               0.005149,               0.005149,               0.005149
                     52,                0.65651,                0.39247,                0.84596,                0.90856,                0.87674,                0.93704,                0.79155,                0.61862,                0.35498,                0.83248,                0.00505,                0.00505,                0.00505
                     53,                0.66315,                0.39463,                0.84681,                0.91319,                0.87504,                0.93693,                0.79155,                0.61839,                0.35521,                0.83193,               0.004951,               0.004951,               0.004951
                     54,                0.65486,                0.39365,                0.84464,                0.91509,                0.87418,                0.93768,                0.79162,                0.61993,                0.35547,                0.83225,               0.004852,               0.004852,               0.004852
                     55,                0.64808,                0.38233,                0.84334,                0.91224,                0.87351,                0.93674,                0.79101,                0.62011,                0.35712,                0.83226,               0.004753,               0.004753,               0.004753
                     56,                0.64912,                0.38363,                0.84382,                0.91271,                0.87178,                 0.9367,                0.79023,                0.62147,                0.35725,                0.83304,               0.004654,               0.004654,               0.004654
                     57,                0.64911,                0.38687,                0.84492,                0.91284,                0.87365,                0.93738,                0.79207,                0.61837,                0.35356,                0.83281,               0.004555,               0.004555,               0.004555
                     58,                0.64179,                0.37773,                0.84053,                0.91091,                 0.8779,                0.93746,                0.79262,                0.61771,                0.35377,                0.83219,               0.004456,               0.004456,               0.004456
                     59,                0.64867,                0.38045,                0.84215,                0.91444,                0.87014,                0.93519,                0.79092,                0.61756,                 0.3564,                0.83258,               0.004357,               0.004357,               0.004357
                     60,                0.64229,                 0.3792,                 0.8405,                0.91574,                0.86957,                0.93501,                0.79085,                0.61735,                0.35649,                 0.8322,               0.004258,               0.004258,               0.004258
                     61,                0.63558,                0.37513,                0.83918,                0.90887,                0.87492,                0.93549,                0.79142,                0.61716,                 0.3558,                0.83218,               0.004159,               0.004159,               0.004159
                     62,                0.63792,                0.37638,                0.84207,                0.90794,                0.87724,                0.93502,                0.79141,                0.61765,                0.35618,                0.83283,                0.00406,                0.00406,                0.00406
                     63,                0.63262,                0.37058,                0.83695,                0.90892,                0.87708,                0.93525,                0.79178,                0.61825,                0.35469,                0.83235,               0.003961,               0.003961,               0.003961
                     64,                0.63524,                0.37213,                0.83878,                0.90921,                0.87619,                0.93544,                0.79134,                0.61877,                0.35608,                0.83278,               0.003862,               0.003862,               0.003862
                     65,                0.63008,                0.36695,                0.83885,                0.91329,                0.87389,                0.93522,                 0.7915,                0.61892,                0.35587,                0.83314,               0.003763,               0.003763,               0.003763
                     66,                0.63116,                0.36943,                0.84028,                0.90847,                 0.8769,                0.93466,                0.79079,                0.61856,                0.35655,                0.83328,               0.003664,               0.003664,               0.003664
                     67,                0.62925,                0.36706,                0.83883,                0.90965,                0.87621,                 0.9343,                0.79063,                 0.6179,                0.35639,                  0.833,               0.003565,               0.003565,               0.003565
                     68,                0.62416,                0.36261,                0.83598,                0.90717,                0.87928,                0.93394,                0.79047,                0.61795,                0.35625,                0.83303,               0.003466,               0.003466,               0.003466
                     69,                0.63033,                0.36906,                0.83819,                0.90885,                0.87921,                0.93323,                0.79024,                0.61807,                 0.3564,                 0.8329,               0.003367,               0.003367,               0.003367
                     70,                0.62055,                0.35905,                0.83542,                0.91109,                0.87798,                0.93358,                0.79063,                0.61795,                0.35623,                0.83269,               0.003268,               0.003268,               0.003268
                     71,                  0.621,                0.36045,                0.83596,                0.91152,                0.87585,                0.93335,                0.79066,                 0.6178,                0.35619,                0.83254,               0.003169,               0.003169,               0.003169
                     72,                0.61628,                0.35472,                0.83381,                0.90715,                0.87826,                 0.9331,                0.79018,                0.61768,                0.35684,                0.83254,                0.00307,                0.00307,                0.00307
                     73,                0.61458,                0.35595,                0.83561,                 0.9085,                0.87755,                0.93345,                0.79065,                0.61761,                0.35668,                0.83257,               0.002971,               0.002971,               0.002971
                     74,                0.61365,                0.35376,                0.83301,                0.90904,                0.87583,                0.93317,                0.79054,                0.61794,                  0.357,                 0.8325,               0.002872,               0.002872,               0.002872
                     75,                0.61187,                  0.354,                0.83323,                0.90896,                0.87499,                0.93317,                0.78992,                0.61815,                 0.3565,                0.83245,               0.002773,               0.002773,               0.002773
                     76,                0.60688,                 0.3464,                0.83213,                0.90832,                0.87536,                0.93284,                0.78986,                0.61857,                0.35686,                0.83247,               0.002674,               0.002674,               0.002674
                     77,                0.60821,                0.34922,                 0.8316,                0.90916,                0.87537,                0.93258,                 0.7893,                0.61885,                0.35693,                0.83255,               0.002575,               0.002575,               0.002575
                     78,                0.60894,                0.34936,                0.83286,                0.90416,                0.87966,                 0.9324,                0.78911,                0.61911,                0.35734,                0.83267,               0.002476,               0.002476,               0.002476
                     79,                0.60856,                0.34973,                0.83363,                0.90568,                0.87805,                 0.9322,                0.78891,                0.61932,                0.35759,                0.83286,               0.002377,               0.002377,               0.002377
                     80,                0.60301,                 0.3466,                0.83218,                0.90617,                0.87717,                0.93206,                0.78853,                0.61985,                0.35798,                0.83306,               0.002278,               0.002278,               0.002278
                     81,                0.59798,                0.34213,                0.83027,                0.90639,                0.87737,                0.93186,                0.78873,                0.62024,                0.35859,                0.83325,               0.002179,               0.002179,               0.002179
                     82,                0.59532,                0.34142,                0.83157,                0.90568,                0.87808,                0.93181,                0.78873,                0.62067,                0.35924,                0.83358,                0.00208,                0.00208,                0.00208
                     83,                0.59223,                0.33444,                0.82805,                0.90766,                0.87566,                0.93168,                0.78864,                0.62074,                0.35935,                0.83373,               0.001981,               0.001981,               0.001981
                     84,                0.59553,                0.33751,                0.82962,                0.90706,                0.87651,                0.93174,                0.78884,                 0.6209,                0.35981,                0.83389,               0.001882,               0.001882,               0.001882
                     85,                0.59207,                0.33678,                0.82935,                0.90883,                0.87513,                0.93167,                0.78864,                0.62121,                0.36029,                0.83406,               0.001783,               0.001783,               0.001783
                     86,                0.59062,                0.33369,                0.82915,                0.90872,                0.87554,                 0.9316,                0.78862,                0.62142,                0.36084,                0.83423,               0.001684,               0.001684,               0.001684
                     87,                0.59045,                0.33379,                0.82824,                0.90821,                0.87525,                0.93128,                0.78843,                0.62162,                0.36114,                0.83433,               0.001585,               0.001585,               0.001585
                     88,                0.58854,                0.33429,                 0.8287,                0.90787,                0.87631,                0.93124,                0.78862,                0.62175,                0.36158,                0.83443,               0.001486,               0.001486,               0.001486
                     89,                0.58458,                0.32986,                0.82762,                0.90806,                0.87625,                0.93105,                0.78821,                0.62211,                 0.3619,                0.83457,               0.001387,               0.001387,               0.001387
                     90,                0.58048,                0.32602,                0.82478,                  0.909,                0.87584,                0.93096,                0.78797,                0.62226,                0.36227,                0.83456,               0.001288,               0.001288,               0.001288
                     91,                  0.574,                0.31724,                0.82126,                0.90881,                0.87579,                0.93092,                 0.7879,                0.62244,                0.36272,                0.83462,               0.001189,               0.001189,               0.001189
                     92,                 0.5694,                0.31516,                0.82149,                0.90962,                0.87527,                0.93071,                0.78744,                0.62267,                0.36321,                 0.8347,                0.00109,                0.00109,                0.00109
                     93,                0.56495,                0.31058,                0.82008,                0.91062,                0.87419,                0.93041,                0.78728,                 0.6228,                0.36352,                0.83476,               0.000991,               0.000991,               0.000991
                     94,                0.56533,                0.30896,                 0.8213,                0.90955,                0.87474,                0.93014,                0.78712,                0.62292,                0.36365,                0.83487,               0.000892,               0.000892,               0.000892
                     95,                  0.556,                0.30158,                0.81848,                0.90879,                0.87527,                0.93021,                0.78702,                 0.6231,                0.36393,                0.83498,               0.000793,               0.000793,               0.000793
                     96,                0.55826,                0.30396,                0.81914,                 0.9086,                0.87555,                0.93004,                0.78697,                0.62313,                0.36436,                0.83509,               0.000694,               0.000694,               0.000694
                     97,                0.55449,                0.30106,                0.81787,                0.90851,                0.87527,                0.92994,                 0.7867,                0.62333,                0.36456,                0.83516,               0.000595,               0.000595,               0.000595
                     98,                0.54848,                0.29611,                0.81485,                0.90841,                0.87484,                0.92967,                0.78662,                0.62349,                0.36489,                0.83527,               0.000496,               0.000496,               0.000496
                     99,                0.54843,                0.29693,                0.81677,                0.90795,                0.87517,                0.92955,                0.78645,                0.62367,                0.36542,                0.83542,               0.000397,               0.000397,               0.000397
                    100,                0.54031,                0.29157,                  0.814,                0.91009,                0.87328,                0.92947,                0.78629,                 0.6238,                0.36573,                0.83546,               0.000298,               0.000298,               0.000298
