                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.65692,                0.40002,                0.84884,                0.90681,                0.88922,                0.94458,                0.80207,                0.59389,                0.33593,                0.82559,               0.006535,               0.006535,               0.006535
                     38,                0.66301,                0.40369,                 0.8504,                0.91078,                0.88754,                0.94473,                0.80272,                0.59367,                0.33522,                0.82553,               0.006436,               0.006436,               0.006436
                     39,                0.65897,                0.39681,                0.84887,                0.91105,                0.88693,                0.94463,                0.80254,                0.59361,                0.33553,                 0.8256,               0.006337,               0.006337,               0.006337
                     40,                0.65309,                0.39278,                0.84805,                0.90939,                0.88791,                0.94431,                0.80273,                 0.5934,                0.33585,                0.82568,               0.006238,               0.006238,               0.006238
                     41,                0.65168,                0.39277,                0.84708,                0.90748,                0.89153,                0.94419,                0.80259,                0.59347,                0.33599,                0.82574,               0.006139,               0.006139,               0.006139
                     42,                0.65451,                0.39662,                 0.8482,                 0.9086,                0.89045,                0.94422,                0.80278,                0.59338,                 0.3357,                0.82579,                0.00604,                0.00604,                0.00604
                     43,                0.65334,                0.39526,                0.84802,                0.90721,                0.89103,                0.94389,                0.80286,                0.59331,                0.33563,                0.82584,               0.005941,               0.005941,               0.005941
                     44,                0.65073,                0.39332,                0.84806,                0.90677,                0.89041,                0.94381,                0.80283,                0.59313,                0.33555,                0.82585,               0.005842,               0.005842,               0.005842
                     45,                0.64681,                0.38969,                 0.8457,                0.90874,                 0.8879,                0.94384,                0.80323,                0.59291,                0.33543,                 0.8258,               0.005743,               0.005743,               0.005743
                     46,                0.64575,                 0.3881,                 0.8457,                0.90919,                0.88849,                0.94379,                0.80357,                 0.5927,                0.33529,                0.82572,               0.005644,               0.005644,               0.005644
                     47,                0.64659,                0.38842,                0.84738,                0.90988,                0.88821,                0.94357,                0.80344,                0.59276,                0.33545,                0.82576,               0.005545,               0.005545,               0.005545
                     48,                0.64642,                0.39083,                0.84696,                0.90972,                0.88802,                 0.9435,                0.80345,                0.59268,                0.33554,                0.82577,               0.005446,               0.005446,               0.005446
                     49,                0.64114,                 0.3856,                0.84627,                0.90951,                0.88759,                 0.9435,                0.80347,                0.59268,                0.33549,                0.82578,               0.005347,               0.005347,               0.005347
                     50,                0.64117,                0.38334,                0.84541,                0.90961,                0.88714,                0.94348,                0.80339,                0.59262,                0.33559,                0.82579,               0.005248,               0.005248,               0.005248
                     51,                0.63759,                0.37953,                0.84416,                0.90906,                0.88796,                0.94344,                0.80354,                0.59247,                0.33526,                0.82578,               0.005149,               0.005149,               0.005149
                     52,                0.63655,                 0.3788,                0.84431,                0.90966,                 0.8875,                0.94339,                 0.8034,                0.59264,                0.33566,                 0.8258,                0.00505,                0.00505,                0.00505
                     53,                0.63538,                0.37717,                0.84458,                0.91127,                0.88583,                0.94351,                0.80363,                0.59262,                0.33546,                0.82579,               0.004951,               0.004951,               0.004951
                     54,                0.62939,                0.37251,                0.84133,                0.91341,                 0.8834,                0.94338,                0.80336,                0.59261,                0.33528,                0.82576,               0.004852,               0.004852,               0.004852
                     55,                0.63512,                0.37635,                0.84375,                0.91365,                0.88339,                0.94365,                0.80353,                0.59252,                0.33514,                0.82572,               0.004753,               0.004753,               0.004753
                     56,                0.63503,                0.38013,                0.84333,                 0.9142,                0.88264,                0.94359,                0.80337,                0.59249,                0.33524,                0.82572,               0.004654,               0.004654,               0.004654
                     57,                0.63241,                0.37755,                0.84376,                0.91579,                0.88083,                 0.9436,                0.80354,                0.59256,                 0.3353,                0.82572,               0.004555,               0.004555,               0.004555
                     58,                0.62887,                 0.3744,                0.84136,                0.91673,                0.87965,                0.94344,                0.80344,                0.59254,                0.33541,                0.82571,               0.004456,               0.004456,               0.004456
